Beide	O
,	O
eine	O
Kioskbesitzerin	O
auf	O
dem	O
Bahnhof	O
und	O
ein	O
beim	O
Einsatz	O
anwesender	O
Polizeibeamter	O
,	O
führten	O
unabhängig	O
voneinander	O
an	O
,	O
der	O
reglos	O
am	B-LIT
Boden	I-LIT
liegende	I-LIT
Grams	O
sei	O
von	O
einem	O
Polizisten	O
aus	O
nächster	O
Nähe	O
in	O
den	O
Kopf	O
geschossen	O
worden	O
.	O

Doch	O
selbst	O
wenn	O
gerichtlich	O
festgestellt	O
würde	O
,	O
daß	O
Aslam	O
tatsächlich	O
geschlagen	O
und	O
,	O
wie	O
er	O
selbst	O
zu	O
Protokoll	O
gab	O
,	O
am	B-LIT
Boden	I-LIT
liegend	I-LIT
getreten	O
worden	O
ist	O
,	O
würde	O
das	O
nichts	O
an	O
seinem	O
Schicksal	O
ändern	O
:	O
"	O
Es	O
handelt	O
sich	O
um	O
eine	O
ausländerrechtlich	O
klare	O
Entscheidung	O
"	O
,	O
sagt	O
Norbert	O
Smekal	O
,	O
Pressesprecher	O
der	O
Ausländerbehörde	O
.	O

Wer	O
wie	O
ich	O
gesehen	O
hat	O
,	O
wie	O
eine	O
Frau	O
,	O
die	O
schon	O
minutenlang	O
regungslos	O
am	B-LIT
Boden	I-LIT
lag	I-LIT
,	O
von	O
mehreren	O
Zivilen	O
abwechselnd	O
in	O
den	O
Bauch	O
getreten	O
wurde	O
,	O
wer	O
gesehen	O
hat	O
,	O
wie	O
Einige	O
zwanzig	O
,	O
dreißig	O
Meter	O
an	O
den	O
Haaren	O
übers	O
Pflaster	O
geschleift	O
wurden	O
,	O
für	O
den	O
war	O
Staatsfeindlichkeit	O
von	O
nun	O
an	O
keine	O
Frage	O
der	O
politischen	O
Gesinnung	O
mehr	O
,	O
sondern	O
schlicht	O
eine	O
Frage	O
der	O
Moral	O
.	O

Dieser	O
"	O
magische	O
Realismus	O
"	O
nimmt	O
nach	O
der	O
Emigration	O
in	O
die	O
Vereinigten	O
Staaten	O
zum	O
Teil	O
bedrohliche	O
Züge	O
an	O
:	O
In	O
"	O
Back	O
of	O
Things	O
"	O
wird	O
ein	O
Mann	O
,	O
am	B-LIT
Boden	I-LIT
liegend	I-LIT
,	O
von	O
zwei	O
Dominas	O
bedroht	O
.	O

Die	O
Iraner	O
wußten	O
gleichfalls	O
,	O
woran	O
ihnen	O
gelegen	B-FIG
war	O
:	O
an	O
Ersatzteilen	O
für	O
die	O
weitgehend	O
am	I-FIG
Boden	I-FIG
liegende	O
Luftwaffe	O
,	O
die	O
noch	O
aus	O
Zeiten	O
des	O
Schah	O
stammte	O
.	O

Wie	O
das	O
Innenministerium	O
erklärte	O
,	O
haben	O
alle	O
sechs	O
an	O
der	O
Aktion	O
in	O
Bad	O
Kleinen	O
beteiligten	O
GSG-9-Beamten	O
bestritten	O
,	O
den	O
am	B-LIT
Boden	I-LIT
liegenden	I-LIT
Wolfgang	O
Grams	O
erschossen	O
zu	O
haben	O
.	O

"	O
Don	O
Carlos	O
"	O
in	O
Bremerhaven	O
-	O
das	O
waren	O
vier	O
Stunden	O
Langeweile	O
bis	O
auf	O
einen	O
Knall	O
zehn	O
Minuten	O
vor	O
Schluß	O
,	O
der	O
das	O
Publikum	O
aus	O
dem	O
Schlummer	O
riß	O
,	O
eine	O
unfreiwillige	O
Pointe	O
,	O
aber	O
kein	O
"	O
finaler	O
Rettungsschuß	O
"	O
,	O
wie	O
bissige	O
Stimmen	O
flüsterten	O
,	O
denn	O
an	O
dieser	O
Inszenierung	O
war	O
nichts	O
mehr	O
zu	O
retten	O
,	O
und	O
am	B-LIT
Boden	I-LIT
lag	I-LIT
am	O
Ende	O
nicht	O
nur	O
der	O
Marquis	O
,	O
sondern	O
der	O
Ruf	O
des	O
Theaters	O
.	O

Während	O
der	O
Türke	O
blutüberströmt	O
am	B-LIT
Boden	I-LIT
liegt	I-LIT
,	O
flüchtet	O
der	O
Täter	O
an	O
der	O
nächsten	O
U-Bahn-	O
Station	O
.	O

Die	O
Soldaten	O
trieben	O
die	O
verschreckten	O
Anwohner	O
aus	O
ihren	O
Häusern	O
und	O
ließen	O
sie	O
im	O
Gänsemarsch	O
an	O
einem	O
Jeep	O
vorbeidefilieren	O
,	O
neben	O
dem	O
drei	O
mit	O
Handschellen	O
gefesselte	O
Männer	O
am	B-LIT
Boden	I-LIT
lagen	I-LIT
,	O
die	O
von	O
ihren	O
Bewachern	O
mit	O
Kolbenhieben	O
und	O
Fußtritten	O
mißhandelt	O
wurden	O
.	O

Aus	O
unserer	O
Sicht	O
liegt	B-LIT
der	O
Tisch	O
,	O
an	O
dem	O
man	O
dort	O
droben	O
Karten	O
spielt	O
,	O
am	I-LIT
Boden	I-LIT
,	O
sub	O
specie	O
aeternitatis	O
aber	O
steht	O
er	O
.	O

Mit	O
blutender	O
Wunde	O
lag	B-LIT
er	O
am	I-LIT
Boden	I-LIT
,	O
das	O
Publikum	O
schloß	O
messerscharf	O
:	O
Wenn	O
der	O
was	O
aus	O
der	O
Kurve	O
an	O
den	O
Kopf	O
gekriegt	O
hat	O
,	O
gibt	O
's	O
einen	O
Kölner	O
Protest	O
auf	O
Spielannullierung	O
.	O

Einer	O
gab	O
an	O
,	O
nach	O
einer	O
Feuerpause	O
von	O
einer	O
zweiten	O
Kugel	O
getroffen	O
worden	O
zu	O
sein	O
,	O
als	O
er	O
bereits	O
verwundet	O
am	B-LIT
Boden	I-LIT
gelegen	I-LIT
habe	O
.	O

Kroatien	O
,	O
dessen	O
Industrie	O
im	O
Krieg	O
zu	O
einem	O
großen	O
Teil	O
zerstört	O
wurde	O
,	O
liegt	B-FIG
wirtschaftlich	O
am	I-FIG
Boden	I-FIG
,	O
nachdem	O
die	O
Haupteinnahmequelle	O
-	O
der	O
Tourismus	O
an	O
den	O
Stränden	O
der	O
adriatischen	O
Küste	O
-	O
versiegt	O
ist	O
.	O

Die	O
seit	O
den	O
Ereignissen	O
in	O
der	O
Mainzer	O
Straße	O
offensichtlich	O
völlig	O
enthemmten	O
Beamten	O
traten	O
dabei	O
noch	O
am	B-LIT
Boden	I-LIT
liegende	I-LIT
Personen	O
-	O
darunter	O
mehrere	O
Frauen	O
-	O
